Runde;Mutter;Toechter
0;990;10
1;980;20
2;970;30
3;960;40
4;950;50
5;940;60
6;930;70
7;920;80
8;910;90
9;900;100
10;891;109
11;882;118
12;873;127
13;864;136
14;855;145
15;846;154
16;837;163
17;828;172
18;819;181
19;810;190
20;801;199
21;792;208
22;784;216
23;776;224
24;768;232
25;760;240
26;752;248
27;744;256
28;736;264
29;728;272
30;720;280
31;712;288
32;704;296
33;696;304
34;689;311
35;682;318
36;675;325
37;668;332
38;661;339
39;654;346
40;647;353
41;640;360
42;633;367
43;626;374
44;619;381
45;612;388
46;605;395
47;598;402
48;592;408
49;586;414
50;580;420
51;574;426
52;568;432
53;562;438
54;556;444
55;550;450
56;544;456
57;538;462
58;532;468
59;526;474
60;520;480
61;514;486
62;508;492
63;502;498
64;496;504
65;491;509
66;486;514
67;481;519
68;476;524
69;471;529
70;466;534
71;461;539
72;456;544
73;451;549
74;446;554
75;441;559
76;436;564
77;431;569
78;426;574
79;421;579
80;416;584
81;411;589
82;406;594
83;401;599
84;396;604
85;392;608
86;388;612
87;384;616
88;380;620
89;376;624
90;372;628
91;368;632
92;364;636
93;360;640
94;356;644
95;352;648
96;348;652
97;344;656
98;340;660
99;336;664
100;332;668
101;328;672
102;324;676
103;320;680
104;316;684
105;312;688
106;308;692
107;304;696
108;300;700
109;297;703
110;294;706
111;291;709
112;288;712
113;285;715
114;282;718
115;279;721
116;276;724
117;273;727
118;270;730
119;267;733
120;264;736
121;261;739
122;258;742
123;255;745
124;252;748
125;249;751
126;246;754
127;243;757
128;240;760
129;237;763
130;234;766
131;231;769
132;228;772
133;225;775
134;222;778
135;219;781
136;216;784
137;213;787
138;210;790
139;207;793
140;204;796
141;201;799
142;198;802
143;196;804
144;194;806
145;192;807
146;190;809
147;188;811
148;186;813
149;184;814
150;182;816
151;180;818
152;178;820
153;176;822
154;174;824
155;172;826
156;170;828
157;168;830
158;166;832
159;164;834
160;162;836
161;160;838
162;158;840
163;156;842
164;154;843
165;152;845
166;150;847
167;148;849
168;146;851
169;144;853
170;142;854
171;140;855
172;138;857
173;136;859
174;134;861
175;132;862
176;130;864
177;128;866
178;126;868
179;124;870
180;122;872
181;120;874
182;118;876
183;116;878
184;114;880
185;112;881
186;110;883
187;108;884
188;106;886
189;104;888
190;102;890
191;100;892
192;99;893
193;98;894
194;97;895
195;96;896
196;95;897
197;94;898
198;93;899
199;92;900
200;91;900
201;90;901
202;89;902
203;88;903
204;87;904
205;86;905
206;85;906
207;84;907
208;83;907
209;82;907
210;81;908
211;80;909
212;79;910
213;78;910
214;77;910
215;76;911
216;75;912
217;74;912
218;73;913
219;72;913
220;71;914
221;70;915
222;69;916
223;68;917
224;67;918
225;66;918
226;65;919
227;64;920
228;63;920
229;62;921
230;61;921
231;60;921
232;59;921
233;58;921
234;57;921
235;56;922
236;55;923
237;54;924
238;53;925
239;52;925
240;51;926
241;50;926
242;49;927
243;48;928
244;47;928
245;46;929
246;45;930
247;44;930
248;43;930
249;42;931
250;41;932
